uids,merchant_click_seq
125,"['merch3', 'merch2', 'merch5', 'merch1', 'merch3', 'merch2', 'merch3', 'merch0', 'merch2', 'merch7', 'merch4', 'merch7', 'merch0', 'merch5', 'merch8', 'merch2', 'merch5', 'merch3', 'merch9', 'merch2', 'merch9', 'merch5', 'merch7', 'merch3', 'merch5', 'merch8', 'merch2']"
126,"['merch1', 'merch0', 'merch8', 'merch5', 'merch8', 'merch4', 'merch9', 'merch7', 'merch2', 'merch0', 'merch7', 'merch2', 'merch1']"
127,"['merch7', 'merch2', 'merch6', 'merch9', 'merch4', 'merch1', 'merch6', 'merch4', 'merch1', 'merch5', 'merch1', 'merch4', 'merch1', 'merch7', 'merch4', 'merch1', 'merch2', 'merch9']"
128,"['merch4', 'merch2', 'merch9', 'merch1', 'merch2', 'merch3', 'merch1', 'merch8', 'merch3', 'merch7', 'merch2', 'merch3', 'merch4', 'merch9', 'merch7', 'merch8', 'merch1']"
129,"['merch2', 'merch5', 'merch3', 'merch5', 'merch6', 'merch5', 'merch3', 'merch7', 'merch8', 'merch2', 'merch6', 'merch5', 'merch4', 'merch5', 'merch4', 'merch3', 'merch8', 'merch0', 'merch9', 'merch7', 'merch1', 'merch5', 'merch2', 'merch9', 'merch8']"
130,"['merch2', 'merch4', 'merch1', 'merch9', 'merch5', 'merch9', 'merch8', 'merch7', 'merch0', 'merch7', 'merch0', 'merch4', 'merch1', 'merch2']"
131,"['merch8', 'merch1', 'merch3', 'merch2', 'merch4', 'merch1', 'merch7', 'merch6', 'merch3', 'merch5', 'merch6', 'merch4']"
132,"['merch7', 'merch3', 'merch1', 'merch5', 'merch4', 'merch6', 'merch7', 'merch2', 'merch9', 'merch0', 'merch4', 'merch3']"
133,"['merch1', 'merch5', 'merch7', 'merch9', 'merch1', 'merch2', 'merch5', 'merch0', 'merch6', 'merch9', 'merch7', 'merch5', 'merch1', 'merch4']"
134,"['merch6', 'merch3', 'merch2', 'merch1', 'merch4', 'merch2', 'merch8', 'merch4', 'merch0', 'merch2', 'merch5', 'merch2', 'merch5', 'merch4', 'merch9']"
135,"['merch4', 'merch5', 'merch4', 'merch1', 'merch3', 'merch1', 'merch6', 'merch1', 'merch8', 'merch5', 'merch7', 'merch9', 'merch3', 'merch2', 'merch8', 'merch2', 'merch7', 'merch0']"
136,"['merch2', 'merch8', 'merch2', 'merch5', 'merch2', 'merch0', 'merch7', 'merch0', 'merch2', 'merch5', 'merch7', 'merch9', 'merch1', 'merch3']"
137,"['merch2', 'merch0', 'merch3', 'merch4', 'merch7', 'merch4', 'merch1', 'merch3', 'merch5', 'merch8', 'merch5', 'merch2', 'merch5', 'merch1', 'merch9', 'merch8', 'merch3']"
138,"['merch7', 'merch0', 'merch4', 'merch5', 'merch2', 'merch7', 'merch5', 'merch1', 'merch4', 'merch0', 'merch4', 'merch1', 'merch8', 'merch2', 'merch4']"
139,"['merch3', 'merch9', 'merch1', 'merch8', 'merch4', 'merch1', 'merch4', 'merch3', 'merch2', 'merch8', 'merch4', 'merch2', 'merch8', 'merch9', 'merch2', 'merch7', 'merch8', 'merch5']"
140,"['merch2', 'merch5', 'merch8', 'merch7', 'merch1', 'merch4', 'merch1', 'merch5', 'merch0']"
141,"['merch1', 'merch2', 'merch3', 'merch6', 'merch1', 'merch2', 'merch1', 'merch0', 'merch7', 'merch3', 'merch2', 'merch0', 'merch5', 'merch3', 'merch1']"
142,"['merch4', 'merch2', 'merch7', 'merch4', 'merch9', 'merch3', 'merch9', 'merch3', 'merch1', 'merch4', 'merch2', 'merch4', 'merch8', 'merch6', 'merch4', 'merch5']"
143,"['merch8', 'merch4', 'merch3', 'merch9', 'merch4', 'merch2', 'merch1', 'merch9', 'merch3', 'merch8', 'merch2', 'merch5']"
144,"['merch1', 'merch3', 'merch7', 'merch3', 'merch1', 'merch5', 'merch4', 'merch3', 'merch7', 'merch0', 'merch2', 'merch0', 'merch4', 'merch3', 'merch1', 'merch7', 'merch1', 'merch2', 'merch7']"
145,"['merch1', 'merch9', 'merch1', 'merch9', 'merch0', 'merch3', 'merch2', 'merch1', 'merch5', 'merch3', 'merch8', 'merch3', 'merch9', 'merch1', 'merch2', 'merch3']"
146,"['merch7', 'merch9', 'merch2', 'merch1', 'merch3', 'merch7', 'merch2', 'merch7', 'merch3', 'merch4', 'merch0']"
147,"['merch2', 'merch4', 'merch9', 'merch7', 'merch5', 'merch7', 'merch4', 'merch7', 'merch1', 'merch8', 'merch2', 'merch3', 'merch2', 'merch7', 'merch1', 'merch7']"
148,"['merch1', 'merch5', 'merch3', 'merch9', 'merch1', 'merch5', 'merch9', 'merch1', 'merch2', 'merch3', 'merch1', 'merch3', 'merch2', 'merch5', 'merch4']"
149,"['merch2', 'merch0', 'merch1', 'merch9', 'merch5', 'merch4', 'merch2', 'merch4', 'merch1']"
150,"['merch2', 'merch8', 'merch2', 'merch4', 'merch1', 'merch2', 'merch1', 'merch7', 'merch1', 'merch9', 'merch1', 'merch8', 'merch5', 'merch0', 'merch2', 'merch1', 'merch8']"
151,"['merch9', 'merch6', 'merch5', 'merch3', 'merch2', 'merch0', 'merch3', 'merch1', 'merch2', 'merch3', 'merch1', 'merch9']"
152,"['merch8', 'merch1', 'merch2', 'merch0', 'merch6', 'merch1', 'merch8', 'merch1', 'merch9', 'merch3', 'merch6', 'merch5', 'merch3', 'merch5', 'merch3', 'merch8']"
153,"['merch8', 'merch4', 'merch7', 'merch4', 'merch6', 'merch9', 'merch3', 'merch1', 'merch5', 'merch7', 'merch4', 'merch0', 'merch1', 'merch9', 'merch0', 'merch3']"
154,"['merch4', 'merch0', 'merch1', 'merch2', 'merch9', 'merch6', 'merch0', 'merch6', 'merch8', 'merch2', 'merch9', 'merch2', 'merch3', 'merch0', 'merch8', 'merch3']"
155,"['merch2', 'merch1', 'merch5', 'merch1', 'merch9', 'merch4', 'merch2', 'merch8', 'merch7', 'merch2', 'merch4', 'merch7']"
156,"['merch2', 'merch3', 'merch7', 'merch3', 'merch6', 'merch1', 'merch6', 'merch9', 'merch1', 'merch0', 'merch3', 'merch5', 'merch9', 'merch3', 'merch4', 'merch7', 'merch6', 'merch9', 'merch7', 'merch1', 'merch9']"
157,"['merch0', 'merch7', 'merch3', 'merch2', 'merch8', 'merch3', 'merch0', 'merch9', 'merch3', 'merch5', 'merch1', 'merch3', 'merch4', 'merch3']"
158,"['merch7', 'merch2', 'merch9', 'merch1', 'merch4', 'merch8', 'merch1', 'merch3', 'merch1', 'merch6', 'merch5', 'merch1', 'merch2', 'merch1', 'merch3', 'merch9', 'merch2', 'merch7']"
159,"['merch3', 'merch9', 'merch2', 'merch7', 'merch1', 'merch3', 'merch2', 'merch8', 'merch1', 'merch5', 'merch6', 'merch4', 'merch6', 'merch9', 'merch6', 'merch4', 'merch5', 'merch9', 'merch2', 'merch6', 'merch2']"
160,"['merch0', 'merch2', 'merch1', 'merch2', 'merch1', 'merch2', 'merch1', 'merch8', 'merch6', 'merch2', 'merch8', 'merch1', 'merch5', 'merch1', 'merch5', 'merch1', 'merch2', 'merch5', 'merch8']"
161,"['merch9', 'merch1', 'merch3', 'merch4', 'merch8', 'merch3', 'merch6', 'merch9', 'merch2', 'merch7', 'merch9', 'merch4', 'merch3', 'merch2', 'merch1', 'merch4']"
162,"['merch3', 'merch4', 'merch2', 'merch1', 'merch3', 'merch2', 'merch5', 'merch8', 'merch3', 'merch8', 'merch9', 'merch0', 'merch7', 'merch8', 'merch5', 'merch8', 'merch7', 'merch3']"
163,"['merch1', 'merch4', 'merch3', 'merch9', 'merch6', 'merch9', 'merch3', 'merch1', 'merch3', 'merch4', 'merch1', 'merch3', 'merch4', 'merch7', 'merch4']"
164,"['merch5', 'merch8', 'merch5', 'merch1', 'merch4', 'merch0', 'merch7', 'merch6', 'merch2', 'merch4', 'merch1', 'merch2', 'merch1']"
165,"['merch8', 'merch1', 'merch8', 'merch5', 'merch2', 'merch3', 'merch8', 'merch7', 'merch5', 'merch8', 'merch1', 'merch4', 'merch3', 'merch4', 'merch2', 'merch0', 'merch4', 'merch7']"
166,"['merch5', 'merch1', 'merch8', 'merch2', 'merch4', 'merch2', 'merch9', 'merch5', 'merch4', 'merch1', 'merch5', 'merch1', 'merch4', 'merch2', 'merch3', 'merch5']"
167,"['merch4', 'merch0', 'merch1', 'merch9', 'merch3', 'merch2', 'merch4', 'merch8', 'merch0', 'merch3', 'merch5', 'merch9', 'merch7', 'merch1', 'merch5', 'merch4', 'merch1', 'merch4', 'merch1']"
168,"['merch1', 'merch4', 'merch3', 'merch2', 'merch4', 'merch0', 'merch4', 'merch7', 'merch2', 'merch1', 'merch3', 'merch1', 'merch2', 'merch4', 'merch1', 'merch2', 'merch3', 'merch2']"
169,"['merch3', 'merch0', 'merch3', 'merch1', 'merch3', 'merch1', 'merch9', 'merch1', 'merch6', 'merch1', 'merch3']"
170,"['merch2', 'merch4', 'merch5', 'merch9', 'merch2', 'merch1', 'merch8', 'merch3', 'merch4']"
171,"['merch1', 'merch3', 'merch1', 'merch4', 'merch7', 'merch3', 'merch5', 'merch2', 'merch8', 'merch2']"
172,"['merch4', 'merch0', 'merch3', 'merch9', 'merch7', 'merch1', 'merch2', 'merch1', 'merch4', 'merch8', 'merch0', 'merch2', 'merch4', 'merch2', 'merch7', 'merch4', 'merch5', 'merch4']"
173,"['merch9', 'merch1', 'merch8', 'merch9', 'merch8', 'merch2', 'merch4', 'merch7', 'merch6', 'merch9', 'merch7', 'merch4', 'merch1', 'merch7', 'merch1', 'merch2', 'merch4', 'merch7', 'merch0', 'merch2', 'merch1']"
174,"['merch3', 'merch1', 'merch3', 'merch9', 'merch3', 'merch4', 'merch5', 'merch3', 'merch7', 'merch3', 'merch8', 'merch2', 'merch5', 'merch4', 'merch2', 'merch0']"
175,"['merch1', 'merch6', 'merch8', 'merch9', 'merch2', 'merch7', 'merch3', 'merch0', 'merch8', 'merch1', 'merch4', 'merch1', 'merch5', 'merch3', 'merch1', 'merch2', 'merch7']"
176,"['merch2', 'merch5', 'merch3', 'merch1', 'merch2', 'merch5', 'merch3', 'merch1', 'merch3', 'merch2']"
177,"['merch1', 'merch5', 'merch2', 'merch6', 'merch2', 'merch3', 'merch4', 'merch1', 'merch9', 'merch1']"
178,"['merch1', 'merch4', 'merch8', 'merch3', 'merch7', 'merch3', 'merch1', 'merch5', 'merch0', 'merch9', 'merch1', 'merch0', 'merch4', 'merch3']"
179,"['merch9', 'merch7', 'merch3', 'merch6', 'merch3', 'merch9', 'merch3', 'merch8', 'merch3', 'merch0', 'merch4', 'merch1', 'merch7', 'merch3', 'merch1']"
180,"['merch2', 'merch9', 'merch8', 'merch2', 'merch0', 'merch4', 'merch9', 'merch2', 'merch5', 'merch8', 'merch1', 'merch7', 'merch0', 'merch8', 'merch3', 'merch8', 'merch0', 'merch5', 'merch3']"
181,"['merch3', 'merch4', 'merch3', 'merch4', 'merch6', 'merch1', 'merch9', 'merch2', 'merch1', 'merch8', 'merch5', 'merch2', 'merch3', 'merch7', 'merch3', 'merch1', 'merch9', 'merch4']"
182,"['merch2', 'merch3', 'merch6', 'merch8', 'merch7', 'merch0', 'merch3', 'merch1', 'merch3', 'merch1', 'merch8', 'merch0', 'merch9']"
183,"['merch7', 'merch0', 'merch4', 'merch5', 'merch0', 'merch5', 'merch1', 'merch2', 'merch1', 'merch3', 'merch1', 'merch6', 'merch4', 'merch7', 'merch1']"
184,"['merch3', 'merch1', 'merch3', 'merch2', 'merch7', 'merch9', 'merch3', 'merch8', 'merch7', 'merch2', 'merch3']"
185,"['merch3', 'merch5', 'merch7', 'merch3', 'merch1', 'merch4', 'merch8', 'merch1', 'merch8', 'merch3', 'merch1', 'merch2']"
186,"['merch6', 'merch9', 'merch4', 'merch7', 'merch3', 'merch5', 'merch2', 'merch0', 'merch3', 'merch4', 'merch0', 'merch2', 'merch4', 'merch0', 'merch9']"
187,"['merch8', 'merch0', 'merch6', 'merch9', 'merch6', 'merch9', 'merch0', 'merch1']"
188,"['merch1', 'merch4', 'merch8', 'merch3', 'merch2', 'merch5', 'merch9', 'merch8', 'merch3', 'merch1', 'merch2']"
189,"['merch2', 'merch3', 'merch1', 'merch5', 'merch2', 'merch7', 'merch1', 'merch0', 'merch4', 'merch9', 'merch3', 'merch2', 'merch9', 'merch2', 'merch3', 'merch9', 'merch1']"
190,"['merch3', 'merch0', 'merch1', 'merch2', 'merch3', 'merch6', 'merch1', 'merch3', 'merch4', 'merch9', 'merch8', 'merch2', 'merch8', 'merch9', 'merch1']"
191,"['merch3', 'merch6', 'merch5', 'merch7', 'merch9', 'merch5', 'merch1', 'merch3', 'merch2', 'merch0', 'merch9', 'merch2', 'merch1', 'merch3', 'merch1', 'merch0', 'merch8']"
192,"['merch0', 'merch4', 'merch2', 'merch3', 'merch7', 'merch3', 'merch1', 'merch9', 'merch5', 'merch9', 'merch4', 'merch1', 'merch7', 'merch3', 'merch7', 'merch0', 'merch7', 'merch3', 'merch5', 'merch7', 'merch9', 'merch5', 'merch1', 'merch4', 'merch6']"
193,"['merch0', 'merch9', 'merch5', 'merch2', 'merch7', 'merch2', 'merch7', 'merch1', 'merch7', 'merch0', 'merch2', 'merch9', 'merch1']"
194,"['merch1', 'merch0', 'merch2', 'merch3', 'merch8', 'merch4', 'merch9', 'merch3', 'merch4', 'merch3', 'merch8', 'merch2', 'merch0', 'merch6', 'merch0', 'merch4']"
195,"['merch1', 'merch4', 'merch8', 'merch9', 'merch8', 'merch7', 'merch1', 'merch5', 'merch2', 'merch4', 'merch8', 'merch5', 'merch4', 'merch1']"
196,"['merch0', 'merch1', 'merch0', 'merch5', 'merch3', 'merch1', 'merch6', 'merch0', 'merch2', 'merch4', 'merch8', 'merch4', 'merch1', 'merch8']"
197,"['merch3', 'merch8', 'merch7', 'merch1', 'merch7', 'merch2', 'merch4', 'merch9', 'merch8', 'merch2']"
198,"['merch8', 'merch9', 'merch2', 'merch5', 'merch8', 'merch3', 'merch7', 'merch1', 'merch2', 'merch7', 'merch2', 'merch7', 'merch4', 'merch1', 'merch8', 'merch7', 'merch3', 'merch8', 'merch2', 'merch5', 'merch4', 'merch5']"
199,"['merch0', 'merch1', 'merch9', 'merch6', 'merch8', 'merch3', 'merch4', 'merch3', 'merch1', 'merch5', 'merch1', 'merch0']"
200,"['merch8', 'merch9', 'merch4', 'merch2', 'merch1', 'merch9', 'merch0', 'merch2', 'merch1', 'merch5', 'merch8', 'merch4', 'merch2', 'merch6', 'merch9', 'merch1', 'merch4', 'merch2', 'merch5', 'merch2', 'merch0', 'merch6', 'merch9', 'merch4', 'merch9', 'merch8']"
201,"['merch7', 'merch2', 'merch1', 'merch6', 'merch9', 'merch2', 'merch1', 'merch2', 'merch4', 'merch1', 'merch8', 'merch5', 'merch0', 'merch8', 'merch0', 'merch5']"
202,"['merch1', 'merch4', 'merch6', 'merch3', 'merch9', 'merch1', 'merch3', 'merch9', 'merch3', 'merch2', 'merch1', 'merch4', 'merch2', 'merch7']"
203,"['merch9', 'merch3', 'merch7', 'merch1', 'merch5', 'merch7', 'merch3', 'merch4', 'merch7', 'merch8', 'merch4', 'merch9', 'merch7', 'merch3', 'merch7', 'merch3', 'merch1']"
204,"['merch1', 'merch0', 'merch2', 'merch8', 'merch2', 'merch3', 'merch4', 'merch0', 'merch4', 'merch7', 'merch0', 'merch2', 'merch5', 'merch3', 'merch1', 'merch8', 'merch6', 'merch8', 'merch2', 'merch4']"
205,"['merch9', 'merch7', 'merch6', 'merch4', 'merch2', 'merch6', 'merch3', 'merch2', 'merch1', 'merch3', 'merch1', 'merch2', 'merch1', 'merch2']"
206,"['merch3', 'merch8', 'merch4', 'merch2', 'merch7', 'merch1', 'merch7', 'merch3', 'merch8', 'merch5', 'merch9', 'merch8', 'merch5', 'merch3', 'merch5']"
207,"['merch1', 'merch5', 'merch2', 'merch1', 'merch2', 'merch7', 'merch5', 'merch2', 'merch5', 'merch6', 'merch1', 'merch2', 'merch1', 'merch2']"
208,"['merch2', 'merch5', 'merch2', 'merch1', 'merch9', 'merch2', 'merch8', 'merch9', 'merch5', 'merch3', 'merch5', 'merch9', 'merch3', 'merch7', 'merch0', 'merch3', 'merch6', 'merch5', 'merch8', 'merch9', 'merch7', 'merch9', 'merch0']"
209,"['merch5', 'merch1', 'merch3', 'merch2', 'merch1', 'merch9', 'merch3', 'merch6', 'merch2', 'merch3']"
210,"['merch1', 'merch3', 'merch5', 'merch6', 'merch9', 'merch1', 'merch4', 'merch5', 'merch8', 'merch0', 'merch1', 'merch9']"
211,"['merch2', 'merch1', 'merch0', 'merch7', 'merch0', 'merch8', 'merch1', 'merch7', 'merch0', 'merch5', 'merch2', 'merch7']"
212,"['merch0', 'merch7', 'merch8', 'merch2', 'merch8', 'merch3', 'merch5', 'merch0', 'merch2', 'merch1', 'merch3', 'merch2', 'merch9', 'merch2', 'merch0', 'merch1']"
213,"['merch9', 'merch8', 'merch1', 'merch4', 'merch3', 'merch4', 'merch3', 'merch9', 'merch1', 'merch5', 'merch6']"
214,"['merch2', 'merch0', 'merch3', 'merch2', 'merch3', 'merch7', 'merch8', 'merch2', 'merch1', 'merch2']"
215,"['merch3', 'merch1', 'merch5', 'merch1', 'merch7', 'merch2', 'merch5', 'merch9', 'merch2', 'merch9', 'merch1', 'merch2']"
216,"['merch5', 'merch6', 'merch1', 'merch3', 'merch0', 'merch3', 'merch0', 'merch1', 'merch5']"
217,"['merch8', 'merch3', 'merch5', 'merch3', 'merch8', 'merch4', 'merch9', 'merch6', 'merch9', 'merch1', 'merch7', 'merch1', 'merch4']"
218,"['merch3', 'merch7', 'merch6', 'merch3', 'merch9', 'merch3', 'merch0', 'merch3', 'merch1', 'merch8', 'merch5', 'merch4', 'merch5', 'merch0']"
219,"['merch1', 'merch9', 'merch3', 'merch1', 'merch3', 'merch5', 'merch2', 'merch3', 'merch7', 'merch1', 'merch3', 'merch1', 'merch9', 'merch3', 'merch2']"
220,"['merch9', 'merch2', 'merch4', 'merch3', 'merch2', 'merch5', 'merch3', 'merch0', 'merch5', 'merch2', 'merch1', 'merch9', 'merch1', 'merch2', 'merch0', 'merch9']"
221,"['merch4', 'merch1', 'merch8', 'merch0', 'merch3', 'merch1', 'merch6', 'merch5', 'merch3', 'merch4', 'merch7', 'merch1', 'merch9', 'merch1', 'merch3', 'merch7', 'merch9']"
222,"['merch2', 'merch6', 'merch2', 'merch3', 'merch7', 'merch9', 'merch4', 'merch7', 'merch6', 'merch4', 'merch0', 'merch4', 'merch6', 'merch1']"
223,"['merch3', 'merch1', 'merch7', 'merch6', 'merch2', 'merch5', 'merch3', 'merch8', 'merch7', 'merch9', 'merch1', 'merch3', 'merch6', 'merch8']"
224,"['merch1', 'merch5', 'merch3', 'merch1', 'merch0', 'merch1', 'merch7', 'merch5', 'merch3', 'merch2', 'merch1', 'merch9']"
225,"['merch2', 'merch1', 'merch2', 'merch6', 'merch5', 'merch1', 'merch4', 'merch5', 'merch8', 'merch5', 'merch2', 'merch3', 'merch8', 'merch7', 'merch5', 'merch7']"
226,"['merch2', 'merch6', 'merch8', 'merch5', 'merch8', 'merch4', 'merch2', 'merch6', 'merch7', 'merch1', 'merch4', 'merch5', 'merch3', 'merch1', 'merch8', 'merch1', 'merch2']"
227,"['merch9', 'merch1', 'merch2', 'merch9', 'merch1', 'merch6', 'merch5', 'merch4', 'merch3', 'merch5', 'merch4', 'merch2', 'merch5', 'merch2', 'merch7', 'merch4', 'merch0']"
228,"['merch2', 'merch5', 'merch8', 'merch3', 'merch2', 'merch1', 'merch2', 'merch1', 'merch7', 'merch0', 'merch6', 'merch3', 'merch1', 'merch3']"
229,"['merch0', 'merch2', 'merch4', 'merch9', 'merch2', 'merch3', 'merch4', 'merch2', 'merch1', 'merch2', 'merch8', 'merch1', 'merch3', 'merch1']"
230,"['merch9', 'merch5', 'merch2', 'merch1', 'merch7', 'merch3', 'merch9', 'merch0', 'merch3', 'merch9', 'merch4', 'merch7', 'merch8', 'merch1', 'merch5', 'merch9', 'merch2', 'merch3', 'merch1', 'merch9']"
231,"['merch5', 'merch3', 'merch9', 'merch8', 'merch2', 'merch9', 'merch7', 'merch3', 'merch2', 'merch5', 'merch3', 'merch5', 'merch8']"
232,"['merch0', 'merch9', 'merch2', 'merch9', 'merch0', 'merch5', 'merch3', 'merch7', 'merch2', 'merch8', 'merch5', 'merch1', 'merch4', 'merch1', 'merch3']"
233,"['merch5', 'merch4', 'merch3', 'merch2', 'merch4', 'merch0', 'merch6', 'merch1', 'merch7', 'merch4', 'merch1', 'merch7', 'merch4', 'merch2', 'merch1', 'merch3', 'merch8', 'merch7']"
234,"['merch1', 'merch5', 'merch1', 'merch9', 'merch4', 'merch9', 'merch1', 'merch5', 'merch3', 'merch2', 'merch4', 'merch9']"
235,"['merch2', 'merch1', 'merch3', 'merch6', 'merch9', 'merch8', 'merch1', 'merch0', 'merch2', 'merch0', 'merch7', 'merch6', 'merch1', 'merch2']"
236,"['merch0', 'merch6', 'merch5', 'merch3', 'merch2', 'merch1', 'merch3', 'merch0', 'merch7', 'merch8', 'merch4', 'merch5', 'merch2', 'merch8', 'merch9', 'merch4', 'merch7']"
237,"['merch7', 'merch8', 'merch2', 'merch6', 'merch4', 'merch2', 'merch7', 'merch2', 'merch0', 'merch3', 'merch2', 'merch3', 'merch7', 'merch3', 'merch8']"
238,"['merch1', 'merch4', 'merch2', 'merch1', 'merch9', 'merch0', 'merch9', 'merch1', 'merch2', 'merch0', 'merch5', 'merch2', 'merch8', 'merch4', 'merch3']"
239,"['merch0', 'merch6', 'merch2', 'merch1', 'merch6', 'merch4', 'merch2', 'merch9', 'merch8', 'merch5', 'merch3', 'merch0', 'merch8', 'merch1', 'merch6']"
240,"['merch7', 'merch4', 'merch7', 'merch4', 'merch8', 'merch3', 'merch1', 'merch9', 'merch7', 'merch3', 'merch1', 'merch3', 'merch1', 'merch2', 'merch3', 'merch9', 'merch7']"
241,"['merch2', 'merch1', 'merch7', 'merch8', 'merch1', 'merch2', 'merch0', 'merch6', 'merch4', 'merch5', 'merch3', 'merch4', 'merch0', 'merch6']"
242,"['merch2', 'merch1', 'merch9', 'merch3', 'merch0', 'merch4', 'merch5', 'merch0', 'merch8', 'merch2', 'merch7', 'merch1', 'merch2', 'merch6', 'merch9', 'merch1', 'merch3', 'merch0', 'merch7']"
243,"['merch7', 'merch0', 'merch2', 'merch8', 'merch4', 'merch2', 'merch1', 'merch4', 'merch2', 'merch4', 'merch9', 'merch5', 'merch9', 'merch8', 'merch2', 'merch9', 'merch2', 'merch0', 'merch3', 'merch4']"
244,"['merch1', 'merch5', 'merch7', 'merch4', 'merch9', 'merch5', 'merch3', 'merch4', 'merch1', 'merch8', 'merch3', 'merch2', 'merch3', 'merch1', 'merch3', 'merch4', 'merch2']"
245,"['merch5', 'merch3', 'merch4', 'merch7', 'merch4', 'merch7', 'merch1', 'merch4', 'merch5', 'merch0', 'merch2', 'merch7', 'merch1', 'merch0', 'merch9', 'merch2', 'merch9', 'merch8', 'merch0', 'merch6']"
246,"['merch7', 'merch2', 'merch1', 'merch2', 'merch3', 'merch1', 'merch3', 'merch7', 'merch3', 'merch4', 'merch9']"
